date_time,cpu_percent,mem_percent,cpu_average,pid_len,cpu_listval
2023-05-30 10:49:52,25.0,54.9,22.67,301,"78.0,7.7,29.9,7.7,27.3,7.7,15.4,7.7"
2023-05-30 10:50:04,23.2,54.2,28.46,301,"58.3,13.8,52.5,16.9,27.7,18.5,24.6,15.4"
2023-05-30 10:50:16,23.2,54.2,26.85,300,"50.6,18.5,31.8,16.9,27.7,27.8,20.0,21.5"
2023-05-30 10:50:28,19.5,54.4,27.82,299,"66.7,18.8,29.2,20.3,26.6,17.2,25.0,18.8"
2023-05-30 10:50:40,21.5,54.5,25.56,299,"46.3,24.6,37.3,15.4,27.3,18.2,20.0,15.4"
2023-05-30 10:50:52,30.7,54.2,17.67,298,"76.8,3.1,15.2,6.2,18.5,6.2,7.7,7.7"
2023-05-30 10:51:04,23.2,55.0,24.66,304,"78.2,12.5,28.1,10.9,33.3,14.1,12.5,7.7"
2023-05-30 10:51:16,32.3,54.9,41.67,304,"61.5,32.3,47.7,35.4,36.4,38.5,46.2,35.4"
2023-05-30 10:51:28,27.5,55.0,19.38,303,"31.9,24.6,20.0,16.9,23.5,7.7,21.2,9.2"
2023-05-30 10:51:41,32.4,56.2,33.36,306,"35.8,24.6,46.4,26.2,26.2,27.7,43.1,36.9"
2023-05-30 10:51:53,31.1,56.7,41.54,306,"69.8,24.6,46.2,38.5,46.2,29.2,35.4,42.4"
2023-05-30 10:52:05,31.6,56.6,32.38,306,"43.9,14.1,47.8,25.0,54.1,24.2,34.3,15.6"
2023-05-30 10:52:17,23.9,56.2,23.94,303,"63.6,4.6,28.8,21.2,33.3,15.4,10.8,13.8"
2023-05-30 10:52:29,24.2,56.9,22.84,304,"74.7,7.7,26.2,1.5,42.0,10.6,12.3,7.7"
2023-05-30 10:52:41,26.1,56.3,36.44,306,"42.0,37.7,51.5,33.8,38.5,27.7,38.8,21.5"
2023-05-30 10:52:53,28.5,56.2,22.05,305,"55.0,14.1,23.4,14.1,23.4,15.4,18.5,12.5"
2023-05-30 10:53:05,22.0,56.4,28.26,305,"48.6,10.9,40.6,17.2,32.8,18.5,40.6,16.9"
